TITULO,CODIGO INMUEBLE,ÁREA PRIVADA,ÁREA CONSTRUÍDA,PRECIO POR M²,ESTRATO,ANTIGUEDAD,HABITACIONES,BAÑOS,PARQUEADEROS,BARRIO,DIRECCIÓN,PRECIO
Casa en venta,8012537,480 m²,480.0m²,2062500,3,más de 30 años,8,6,2,Engativá - Bogotá,Preguntar al anunciante,990000000
Casa en venta,8011890,63 m²,63.0m²,2825396,2,16 a 30 años,3,2,0,Engativá - Bogotá,Preguntar al anunciante,177999948
Casa en venta,8012096,68 m²,68.0m²,3897058,3,16 a 30 años,3,2,0,Engativá - Bogotá,Preguntar al anunciante,264999944
Apartamento en venta,7798163,47 m²,47.0m²,3297872,2,9 a 15 años,2,1,0,Engativá - Bogotá,Preguntar al anunciante,154999984
Casa en venta,7791724,0 m²,156.0m²,2628205,3,16 a 30 años,3,1,0,Engativá - Bogotá,Cll 65 111-50,409999980
Casa en venta,7843447,63 m²,64.0m²,2890625,2,16 a 30 años,4,2,1,Engativá - Bogotá,trv 113c No 64c-30 casa 26,185000000
Casa en venta,7977097,180 m²,180.0m²,2027777,2,16 a 30 años,6,2,0,Engativá - Bogotá,Preguntar al anunciante,364999860
Apartamento en venta,7964290,0 m²,52.0m²,3576923,3,16 a 30 años,2,1,0,Engativá - Bogotá,Preguntar al anunciante,185999996
Apartamento en venta,7963843,40 m²,45.0m²,5000000,2,1 a 8 años,2,1,0,Engativá - Bogotá,Preguntar al anunciante,225000000
Casa en venta,6722876,189 m²,210.0m²,2428571,3,Sin información,4,2,1,Engativá - Bogotá,Preguntar al anunciante,509999910
Casa en venta,7934971,216 m²,216.0m²,2175925,2,16 a 30 años,9,5,1,Engativá - Bogotá,Preguntar al anunciante,469999800
Casa en venta,7828341,0 m²,330.0m²,4090909,4,más de 30 años,8,6,4,Engativá - Bogotá,Preguntar al anunciante,1349999970
Casa en venta,6041109,0 m²,210.0m²,2133333,3,16 a 30 años,4,3,0,Engativá - Bogotá,Preguntar al anunciante,447999930
Casa en venta,7712753,99 m²,99.0m²,2616161,3,16 a 30 años,4,2,1,Engativá - Bogotá,Preguntar al anunciante,258999939
Apartamento en venta,7850702,39 m²,49.0m²,3265306,2,9 a 15 años,3,1,0,Engativá - Bogotá,calle 66113C-45,159999994
Casa en venta,7682856,116 m²,116.0m²,2155172,2,16 a 30 años,4,2,0,Engativá - Bogotá,transversal 113 C No. 64 d 30 ,249999952
Casa en venta,7334919,224 m²,224.0m²,1495535,2,9 a 15 años,5,3,1,Engativá - Bogotá,Preguntar al anunciante,334999840
Casa en venta,3440576,44 m²,126.0m²,3571428,2,16 a 30 años,4,4,1,ENGATIVA - Bogotá,Preguntar al anunciante,449999928
Apartamento en venta,7258397,0 m²,70.0m²,4428571,4,1 a 8 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,309999970
Apartamento en venta,7751712,0 m²,47.0m²,5319148,4,9 a 15 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,249999956
Apartamento en venta,7986192,47 m²,47.0m²,3829787,3,16 a 30 años,3,1,0,Engativá - Bogotá,Preguntar al anunciante,179999989
Casa en venta,7638689,290 m²,290.0m²,2000000,2,16 a 30 años,15,8,1,Engativá - Bogotá,Preguntar al anunciante,580000000
Casa en venta,6954824,144 m²,144.0m²,2430555,2,9 a 15 años,3,2,2,Engativá - Bogotá,Preguntar al anunciante,349999920
Apartamento en venta,8006715,40 m²,46.0m²,4782608,2,1 a 8 años,2,1,0,Engativá - Bogotá,Preguntar al anunciante,219999968
Casa en venta,7866782,220 m²,240.0m²,1875000,2,más de 30 años,8,4,2,Engativá - Bogotá,Preguntar al anunciante,450000000
Apartamento en venta,8013316,65 m²,65.0m²,4292307,4,9 a 15 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,278999955
Apartamento en venta,8016238,33 m²,32.0m²,4687500,2,1 a 8 años,2,1,0,Engativá - Bogotá,Preguntar al anunciante,150000000
Apartamento en venta,8015835,47 m²,47.0m²,3361702,2,9 a 15 años,2,1,0,Engativá - Bogotá,Preguntar al anunciante,157999994
Apartamento en venta,8016340,64 m²,64.0m²,3437500,3,16 a 30 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,220000000
Apartamento en venta,7990617,66 m²,66.0m²,2712121,2,1 a 8 años,3,2,0,Engativá - Bogotá,Preguntar al anunciante,178999986
Casa en venta,7154196,264 m²,264.0m²,1325757,2,16 a 30 años,12,4,1,Engativá - Bogotá,Preguntar al anunciante,349999848
Apartamento en venta,8012869,93 m²,93.0m²,4591397,4,1 a 8 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,426999921
Apartamento en venta,7899412,45 m²,48.0m²,3125000,2,9 a 15 años,3,2,0,Engativá - Bogotá,Preguntar al anunciante,150000000
Apartamento en venta,7580862,0 m²,59.0m²,3728813,3,más de 30 años,3,1,0,Engativá - Bogotá,Preguntar al anunciante,219999967
Apartamento en venta,7424499,0 m²,84.0m²,4583333,4,16 a 30 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,384999972
Apartamento en venta,7444356,0 m²,29.0m²,5344827,3,más de 30 años,1,1,0,Engativá - Bogotá,Preguntar al anunciante,154999983
Casa en venta,7409269,0 m²,36.0m²,8055555,2,9 a 15 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,289999980
Apartamento en venta,7269150,0 m²,42.0m²,5952380,3,16 a 30 años,2,1,0,Engativá - Bogotá,Preguntar al anunciante,249999960
Apartamento en venta,7311904,0 m²,55.0m²,3454545,3,16 a 30 años,3,1,0,Engativá - Bogotá,Preguntar al anunciante,189999975
Casa en venta,7316242,0 m²,178.0m²,3033707,3,más de 30 años,4,3,2,Engativá - Bogotá,Preguntar al anunciante,539999846
Casa en venta,7268620,0 m²,199.0m²,3015075,3,16 a 30 años,4,3,1,Engativá - Bogotá,Preguntar al anunciante,599999925
Casa en venta,7065147,0 m²,165.0m²,2848484,4,más de 30 años,7,3,4,Engativá - Bogotá,Preguntar al anunciante,469999860
Apartamento en venta,7026736,0 m²,60.0m²,5000000,4,9 a 15 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,300000000
