TIPO_INMUEBLE,ESTRATO,ANTIGUEDAD,PARQUEADEROS,HABITACIONES,BAÑOS,ÁREA CONSTRUIDA M2,PRECIO M2 MMP
Casa en venta,2,1 a 8 años,SI,4,3,144.0,2.43
Casa en venta,2,9 a 15 años,NO,5,3,85.74999986601561,3.73
Apartamento en venta,2,1 a 8 años,NO,2,1,29.0,4.13
Casa en venta,3,1 a 8 años,NO,5,4,306.0,3.92
Casa en venta,2,Sin información,SI,7,4,236.0,1.78
Casa en venta,2,9 a 15 años,SI,6,3,230.0,1.52
Apartamento en venta,3,1 a 8 años,SI,3,2,61.0,3.77
Apartamento en venta,3,9 a 15 años,SI,3,2,67.0,3.82
Apartamento en venta,2,9 a 15 años,NO,3,2,47.0,3.79
Casa en venta,2,16 a 30 años,SI,5,3,130.0,2.62
Casa en venta,3,más de 30 años,SI,4,2,142.0,3.52
Apartamento en venta,3,9 a 15 años,SI,3,2,67.0,3.73
Apartamento en venta,3,9 a 15 años,SI,3,2,64.0,3.75
Apartamento en venta,3,9 a 15 años,NO,2,1,44.0,4.32
Casa en venta,2,menor a 1 año,SI,9,5,350.0,1.23
Casa en venta,2,1 a 8 años,SI,4,3,144.0,1.74
Apartamento en venta,2,9 a 15 años,NO,3,2,48.0,3.5
Casa en venta,3,más de 30 años,SI,4,2,142.0,3.52
Apartamento en venta,4,1 a 8 años,SI,3,2,60.0,4.17
Apartamento en venta,3,9 a 15 años,SI,3,2,65.0,4.0
Apartamento en venta,3,9 a 15 años,SI,3,2,64.0,3.91
Casa en venta,2,Sin información,NO,10,6,300.0,2.0
Apartamento en venta,3,16 a 30 años,NO,2,2,56.28999990223314,3.38
